system_id,record_type,relative_path,exists,size_bytes,sha256,checksum_status
G12_7SF8,api_index,data/api/v1/systems/G12_7SF8/index.json,yes,1349,cbcc6b5fffa6a326711bd47187831e77e5f102393269c57708a75cacee619d31,computed
G12_7SF8,api_pockets,data/api/v1/systems/G12_7SF8/pockets.json,yes,1677,9eb2457144ee12ba39487db06d150fcf62cd3ac77ee2381b3761366019893896,computed
G12_7SF8,api_pockets_gpcrdb,data/api/v1/systems/G12_7SF8/pockets_gpcrdb.json,yes,2493,baf826b0621404625620982f536608ec27fa0a9403c0d1e09838cbbb5e3ad645,computed
G12_7SF8,api_gateways,data/api/v1/systems/G12_7SF8/gateways.json,yes,8159,e51dd330432547abe0d9afdd8ab16143c90c9dfbfc898f92b7fd9a90673f0d78,computed
G12_7SF8,api_gprotein,data/api/v1/systems/G12_7SF8/gprotein_metrics.json,yes,107940,b5bf2eff4f48ab5098f44183810eb145eb1dfb0ef8f4fd7e5d7fc871b0764d53,computed
G12_7SF8,api_pocketgrid,data/api/v1/systems/G12_7SF8/pocketgrid.npz,yes,10133054,,pending_binary_or_large_file
G12_7SF8,chain_roles,data/chain_roles/G12_7SF8_chain_roles.json,yes,382,ac3a82687cd64a680b0ed4195dc6174d0725a9a11d942302aa4a6f71ff5f35d6,computed
G12_7SF8,contacts,data/contacts/G12_7SF8_contacts.parquet,yes,40680,,pending_binary_or_large_file
Gi_7D77,viz_structure,data/viz/Gi_7D77/structure.pdb,yes,1285470,,pending_binary_or_large_file
Gi_7D77,viz_trajectory,data/viz/Gi_7D77/traj.xtc,yes,150946120,,pending_binary_or_large_file
Gi_7D77,api_index,data/api/v1/systems/Gi_7D77/index.json,yes,1434,31010c1a412c00e86fa3c62d39efb314e6dfae9bedf93d4d7eb9a731b890e810,computed
Gi_7D77,api_pockets,data/api/v1/systems/Gi_7D77/pockets.json,yes,5817,ae2a24f625860a1e8093136ac4ed92b56de3a5307ea4ecd29f1190e1cffbec3d,computed
Gi_7D77,api_pockets_gpcrdb,data/api/v1/systems/Gi_7D77/pockets_gpcrdb.json,yes,9563,ecda5ecac2ab3db67d58a9863c83e9f9135812862d5f304e6ad65e3d26809754,computed
Gi_7D77,api_gateways,data/api/v1/systems/Gi_7D77/gateways.json,yes,8032,66dc3a7f94969b583fb79246ae1bc0a44f6cb8fd2d5323d554fe14b325b2ac1a,computed
Gi_7D77,api_gprotein,data/api/v1/systems/Gi_7D77/gprotein_metrics.json,yes,173273,c80c6c10bfd2f437d44db8957beb3f241db1784dc9c0499ce936ea8338a7fa69,computed
Gi_7D77,api_pocketgrid,data/api/v1/systems/Gi_7D77/pocketgrid.npz,yes,6579390,,pending_binary_or_large_file
Gi_7D77,chain_roles,data/chain_roles/Gi_7D77_chain_roles.json,yes,382,b1d2ed046c31fdcc4ef8c761720b78072ec97907808a00081be67413899a9fa8,computed
Gi_7D77,contacts,data/contacts/Gi_7D77_contacts.parquet,yes,44746,,pending_binary_or_large_file
Gq_7YDM,viz_structure,data/viz/Gq_7YDM/structure.pdb,yes,1165572,,pending_binary_or_large_file
Gq_7YDM,viz_trajectory,data/viz/Gq_7YDM/traj.xtc,yes,136792756,,pending_binary_or_large_file
Gq_7YDM,api_index,data/api/v1/systems/Gq_7YDM/index.json,yes,1308,c4b689b419a00497c2eff9e76eabaed2d61bd93f16d6aacbaf40a970b1e33faa,computed
Gq_7YDM,api_pockets,data/api/v1/systems/Gq_7YDM/pockets.json,yes,6069,3afa1066faca90c715a4eab4c39d8b7b550ad56e387084868ef935ae692b0d82,computed
Gq_7YDM,api_pockets_gpcrdb,data/api/v1/systems/Gq_7YDM/pockets_gpcrdb.json,yes,9078,a38f2e2c4d98c2a11e1cffcbbddbc8236b0481463fdba477223fc59954ac4ff1,computed
Gq_7YDM,api_gateways,data/api/v1/systems/Gq_7YDM/gateways.json,yes,8040,ff931fe5f40fa0f7f1ccbb19177124e60f8850a8c8bdd28b329849573f2b7efc,computed
Gq_7YDM,api_gprotein,data/api/v1/systems/Gq_7YDM/gprotein_metrics.json,yes,116431,35f22562dc64d93929ec2d221ffd16ff6e9759a462b051f5fd21bad56f0198fe,computed
Gq_7YDM,api_pocketgrid,data/api/v1/systems/Gq_7YDM/pocketgrid.npz,yes,5521470,,pending_binary_or_large_file
Gq_7YDM,chain_roles,data/chain_roles/Gq_7YDM_chain_roles.json,yes,381,1cf37ed2a3acf9e09992c207ccfd5392888eba0ee1d0b71c608f2f74a54bda2c,computed
Gq_7YDM,contacts,data/contacts/Gq_7YDM_contacts.parquet,yes,40628,,pending_binary_or_large_file
Gs_7EQ1,viz_structure,data/viz/Gs_7EQ1/structure.pdb,yes,1379106,,pending_binary_or_large_file
Gs_7EQ1,viz_trajectory,data/viz/Gs_7EQ1/traj.xtc,yes,161454060,,pending_binary_or_large_file
Gs_7EQ1,api_index,data/api/v1/systems/Gs_7EQ1/index.json,yes,1339,a6601bfb43693cfa6ad92593bf237843550bc334acab107227bba76a54d35f41,computed
Gs_7EQ1,api_pockets,data/api/v1/systems/Gs_7EQ1/pockets.json,yes,4952,f277ff6acd79bf873f15544f9a289cb56bc40f9e97c2b11bcac43da1816a8cd7,computed
Gs_7EQ1,api_pockets_gpcrdb,data/api/v1/systems/Gs_7EQ1/pockets_gpcrdb.json,yes,7033,697bc6b9517680ddf6e28530916042b7ebd289a3fe9eeab3ab04fd85ba03a7b9,computed
Gs_7EQ1,api_gateways,data/api/v1/systems/Gs_7EQ1/gateways.json,yes,7803,79ea79291591211b0cdb650279ce3f7652547c646c51813bb00a69346f1f10ea,computed
Gs_7EQ1,api_gprotein,data/api/v1/systems/Gs_7EQ1/gprotein_metrics.json,yes,191633,bdf2dc77b6f0b024af2a275b8524e567ef9294c34dc5ee1814f3d04a6554aead,computed
Gs_7EQ1,api_pocketgrid,data/api/v1/systems/Gs_7EQ1/pocketgrid.npz,yes,6299390,,pending_binary_or_large_file
Gs_7EQ1,chain_roles,data/chain_roles/Gs_7EQ1_chain_roles.json,yes,384,f4549bde90882712f8081bb8ec4a020ab83189d004f0eed94b03cf613cfd4899,computed
Gs_7EQ1,contacts,data/contacts/Gs_7EQ1_contacts.parquet,yes,51619,,pending_binary_or_large_file
Gs_7WU2,viz_structure,data/viz/Gs_7WU2/structure.pdb,yes,1322730,,pending_binary_or_large_file
Gs_7WU2,viz_trajectory,data/viz/Gs_7WU2/traj.xtc,yes,153403416,,pending_binary_or_large_file
Gs_7WU2,api_index,data/api/v1/systems/Gs_7WU2/index.json,yes,1339,3a9b66f4abf11b95736f0495ac15576f0784485f97b20eff599c38c90ce8415a,computed
Gs_7WU2,api_pockets,data/api/v1/systems/Gs_7WU2/pockets.json,yes,6544,cd6651368d458c091c443797a758331334230d32882ce2a83f9dceaae165a213,computed
